#timestamp x y z qx qy qz qw
1670533709.68706679 0.00064792 0.00134683 -0.00265225 0.00017474 -0.00019655 -0.00000415 0.99999997
1670533709.78792310 0.00332864 -0.00637240 -0.00277310 -0.00003623 0.00002545 -0.00005047 1.00000000
1670533709.88880825 0.00144299 -0.00741996 -0.00098489 0.00002706 -0.00004102 0.00005345 1.00000000
1670533709.98966694 -0.00075148 -0.00542280 -0.00118532 -0.00001398 -0.00006699 -0.00006039 1.00000000
1670533710.09047961 0.00060680 -0.00321049 -0.00176815 0.00001082 -0.00000858 -0.00000825 1.00000000
1670533710.19139743 0.00275939 -0.00127168 -0.00290132 0.00005976 -0.00007171 -0.00003559 1.00000000
1670533710.29224348 0.00340093 -0.00049274 -0.00277628 0.00002654 -0.00001525 -0.00007981 1.00000000
1670533710.39313555 0.00293782 -0.00179000 -0.00234414 0.00006061 -0.00003529 -0.00003253 1.00000000
1670533710.49391961 0.00355619 -0.00210607 -0.00207025 -0.00001596 -0.00001427 -0.00015328 0.99999999
1670533710.59481478 0.00313654 -0.00458493 -0.00212800 0.00002657 -0.00002137 -0.00003451 1.00000000
1670533710.69563174 0.00270113 -0.00531786 -0.00189602 0.00001055 -0.00006046 0.00004508 1.00000000
1670533710.79648304 0.00148906 -0.00795346 -0.00166201 0.00000919 -0.00003807 0.00007030 1.00000000
1670533710.89736414 0.00063503 -0.00688202 -0.00075975 0.00004302 -0.00001899 0.00010875 0.99999999
1670533710.99826074 0.00050315 -0.00601615 -0.00160073 0.00001550 0.00000009 -0.00002085 1.00000000
1670533711.09906960 0.00209634 -0.00596170 -0.00174270 0.00003376 -0.00005311 0.00002315 1.00000000
1670533711.19993949 0.00125785 -0.00581999 -0.00233871 0.00002741 -0.00000934 0.00005059 1.00000000
1670533711.30073786 0.00256854 -0.00309479 -0.00273651 0.00003257 -0.00005421 -0.00009523 0.99999999
1670533711.40166450 0.00016639 -0.00506078 -0.00263325 0.00002019 -0.00004412 0.00004437 1.00000000
1670533711.50255990 -0.00077539 -0.00578865 -0.00237007 0.00001339 -0.00002093 -0.00000239 1.00000000
1670533711.60345674 -0.00160011 -0.00556792 -0.00180683 0.00001938 -0.00004108 -0.00003778 1.00000000
1670533711.70437694 -0.00165756 -0.00618409 -0.00135177 0.00000571 -0.00003126 0.00000595 1.00000000
1670533711.80521894 -0.00195255 -0.00579697 -0.00173065 0.00002935 -0.00001535 -0.00003813 1.00000000
1670533711.90608501 -0.00102352 -0.00483784 -0.00188016 0.00000557 -0.00003048 0.00005086 1.00000000
1670533712.00694394 -0.00237901 -0.00513734 -0.00249069 0.00003752 -0.00000661 -0.00005728 1.00000000
1670533712.10779452 0.00147624 -0.00715078 -0.00281089 -0.00000554 -0.00002787 -0.00008265 1.00000000
1670533712.20867920 0.00103091 -0.00727536 -0.00266451 0.00004046 -0.00000612 0.00001606 1.00000000
1670533712.30955243 0.00275718 -0.00822110 -0.00260452 -0.00000491 -0.00004242 -0.00004769 1.00000000
1670533712.41041589 0.00374849 -0.00842741 -0.00252104 0.00003079 -0.00005355 -0.00003252 1.00000000
1670533712.51126838 0.00217315 -0.00803449 -0.00203789 0.00002634 -0.00003083 -0.00004401 1.00000000
1670533712.61216712 0.00152334 -0.00758073 -0.00145254 0.00001181 -0.00001907 0.00006188 1.00000000
