#timestamp x y z qx qy qz qw
1670533079.88009310 0.00233753 -0.00050143 -0.00222424 0.00005929 -0.00009106 -0.00005932 0.99999999
1670533079.98097754 0.00661844 0.00247115 -0.00009728 -0.00002370 -0.00012447 -0.00023834 0.99999996
1670533080.08181715 0.00178165 0.00325404 0.00091167 -0.00003358 -0.00006008 -0.00000851 1.00000000
1670533080.18268299 -0.00303663 0.00410596 0.00114946 0.00003397 -0.00010181 -0.00002829 0.99999999
1670533080.28353167 -0.00538367 0.00262876 0.00091759 0.00002492 -0.00008262 -0.00007770 0.99999999
1670533080.38439608 -0.00115349 0.00027772 -0.00032511 -0.00001470 -0.00002379 -0.00001566 1.00000000
1670533080.48527694 -0.00005378 -0.00266564 -0.00081866 0.00001619 -0.00013783 -0.00002131 0.99999999
1670533080.58610153 0.00153610 -0.00497582 -0.00150165 -0.00001474 -0.00010858 -0.00001981 0.99999999
1670533080.68695235 0.00256821 -0.00909397 -0.00206497 0.00000207 -0.00011099 -0.00000468 0.99999999
1670533080.78781772 0.00075136 -0.00672647 -0.00228683 0.00001198 -0.00012080 0.00010635 0.99999999
1670533080.88875723 -0.00132246 -0.00676385 -0.00143740 0.00000268 -0.00002586 0.00011286 0.99999999
1670533080.98953319 -0.00116351 -0.00643503 -0.00115451 0.00000651 -0.00000226 -0.00006870 1.00000000
1670533081.09039354 0.00069504 -0.00585011 -0.00113130 0.00000711 -0.00007830 0.00000019 1.00000000
1670533081.19125295 -0.00068068 -0.00452024 -0.00052667 -0.00001646 -0.00006746 0.00006901 1.00000000
1670533081.29210806 0.00077222 -0.00368943 -0.00034956 0.00000782 -0.00007677 -0.00006177 1.00000000
1670533081.39295840 0.00178851 -0.00235867 -0.00188876 -0.00000562 -0.00005743 0.00005230 1.00000000
1670533081.49381518 -0.00152065 -0.00132744 -0.00179211 0.00000665 -0.00008316 -0.00003665 1.00000000
1670533081.59469604 -0.00241022 -0.00499595 -0.00075608 -0.00000551 -0.00006417 -0.00000063 1.00000000
1670533081.69547439 0.00028592 -0.00602822 -0.00107463 -0.00000468 -0.00005551 0.00003800 1.00000000
1670533081.79641867 0.00154322 -0.00603685 -0.00103444 -0.00000007 -0.00008330 0.00010065 0.99999999
1670533081.89725327 0.00058860 -0.00469291 -0.00127735 -0.00000513 -0.00010849 0.00005701 0.99999999
1670533081.99821162 0.00513917 -0.00358336 -0.00131790 -0.00001448 -0.00002572 0.00002844 1.00000000
1670533082.09902000 0.00327452 -0.00470546 -0.00104061 -0.00000429 -0.00002997 -0.00004355 1.00000000
1670533082.19982910 0.00252711 -0.00539724 -0.00056382 -0.00000984 -0.00005686 0.00007298 1.00000000
1670533082.30071306 0.00217727 -0.00408064 -0.00046292 0.00001615 -0.00009204 0.00005116 0.99999999
1670533082.40149999 0.00233947 -0.00286890 -0.00114357 0.00000338 -0.00007955 0.00022609 0.99999997
1670533082.50242090 0.00382727 -0.00341223 -0.00127584 0.00000305 -0.00002793 0.00006148 1.00000000
1670533082.60327268 0.00166595 -0.00327674 -0.00092018 0.00001226 -0.00005310 -0.00000003 1.00000000
1670533082.70413113 0.00617331 -0.00473261 -0.00090258 -0.00000949 -0.00002542 -0.00001318 1.00000000
1670533082.80499220 0.00080461 -0.00529238 -0.00098728 -0.00001213 -0.00002317 0.00010897 0.99999999
1670533082.90587783 -0.00030785 -0.00475280 -0.00143514 0.00000209 -0.00003156 0.00010936 0.99999999
1670533083.00669861 0.00047339 -0.00416516 -0.00127642 0.00002073 0.00001779 0.00014575 0.99999999
1670533083.10757494 0.00327632 -0.00387834 -0.00138959 0.00000158 -0.00003137 0.00010840 0.99999999
1670533083.20842791 0.00200168 -0.00299781 -0.00126034 0.00000661 -0.00001476 0.00009856 1.00000000
1670533083.30923319 0.00440937 -0.00175255 -0.00122421 -0.00000969 -0.00001450 0.00004978 1.00000000
1670533083.41014194 0.00219227 -0.00245704 -0.00092149 -0.00001937 -0.00005822 0.00005598 1.00000000
1670533083.51102996 0.00326843 -0.00426620 -0.00133119 -0.00003107 -0.00002808 0.00002250 1.00000000
1670533083.61186004 0.00601115 -0.00423782 -0.00157403 -0.00001198 -0.00002182 0.00010056 0.99999999
1670533083.71271253 0.00685664 -0.00445438 -0.00179054 0.00000854 -0.00010476 0.00010506 0.99999999
1670533083.81356525 0.00711604 -0.00367826 -0.00131078 -0.00002243 -0.00003127 0.00004486 1.00000000
1670533083.92007709 0.00392563 -0.00446426 -0.00146587 0.00002503 -0.00006109 0.00021703 0.99999997
1670533084.01528311 0.00209234 -0.00371233 -0.00108039 -0.00000198 -0.00008384 0.00010033 0.99999999
1670533084.11613441 0.00111307 -0.00542154 -0.00074554 -0.00000350 -0.00003902 0.00010358 0.99999999
1670533084.21710420 0.00072500 -0.00764146 -0.00086966 -0.00001170 -0.00001210 0.00013532 0.99999999
1670533084.31784964 0.00131349 -0.00843677 -0.00083458 0.00001269 -0.00002192 0.00018630 0.99999998
1670533084.41876101 0.00309316 -0.00644375 -0.00113514 -0.00000706 -0.00007289 0.00021067 0.99999998
1670533084.51959634 0.00504641 -0.00524039 -0.00087229 0.00000359 0.00002011 0.00013085 0.99999999
1670533084.62054491 0.00644823 -0.00475440 -0.00158311 0.00000737 -0.00007425 0.00009153 0.99999999
1670533084.72133708 0.00444309 -0.00292904 -0.00189629 0.00001582 -0.00003081 0.00013806 0.99999999
1670533084.82221508 0.00233398 -0.00385584 -0.00167557 -0.00000131 -0.00002961 0.00014673 0.99999999
1670533084.92305875 0.00158415 -0.00489274 -0.00130799 0.00000001 -0.00004103 0.00011594 0.99999999
1670533085.02443933 0.00181673 -0.00468973 -0.00122791 -0.00002696 -0.00005897 -0.00000189 1.00000000
1670533085.12477398 0.00257692 -0.00576992 -0.00162910 -0.00001777 -0.00009990 0.00027351 0.99999996
1670533085.22564292 0.00313821 -0.00568318 -0.00090455 -0.00001919 0.00003813 0.00011487 0.99999999
1670533085.32649946 0.00008116 -0.00648435 -0.00082342 -0.00001881 -0.00005293 0.00003554 1.00000000
1670533085.42739677 0.00009399 -0.00739862 -0.00075154 -0.00000656 -0.00004922 0.00004774 1.00000000
1670533085.52820945 0.00103865 -0.00894046 -0.00098315 -0.00001693 -0.00007182 0.00012445 0.99999999
1670533085.62906098 -0.00004354 -0.00941857 -0.00102792 -0.00001074 -0.00004375 0.00002966 1.00000000
1670533085.72993255 0.00119211 -0.00925670 -0.00078912 -0.00001429 -0.00006802 0.00011225 0.99999999
1670533085.83077240 0.00146692 -0.00668391 -0.00127493 -0.00001335 -0.00004234 0.00014080 0.99999999
1670533085.93163013 0.00180376 -0.00652303 -0.00121035 -0.00001376 -0.00004012 0.00015196 0.99999999
1670533086.03249955 0.00261388 -0.00621135 -0.00048516 0.00000677 -0.00000035 0.00024020 0.99999997
1670533086.13335752 0.00062224 -0.00573662 -0.00084340 -0.00000021 -0.00003282 0.00000873 1.00000000
1670533086.23420501 -0.00080676 -0.00688068 -0.00088430 0.00000951 -0.00005970 0.00014510 0.99999999
1670533086.33494091 -0.00064467 -0.00697406 -0.00112579 -0.00001046 -0.00001974 0.00013409 0.99999999
1670533086.43591809 -0.00207956 -0.00656298 -0.00116731 -0.00001587 -0.00000395 0.00012895 0.99999999
1670533086.53675842 -0.00182758 -0.00588575 -0.00115123 0.00000299 -0.00006491 0.00016361 0.99999998
1670533086.63745666 -0.00134717 -0.00627184 -0.00085773 -0.00000642 -0.00002842 0.00010011 0.99999999
1670533086.73848128 -0.00147522 -0.00697585 -0.00112752 -0.00001012 -0.00000348 0.00019787 0.99999998
1670533086.83936429 -0.00076075 -0.00711150 -0.00100108 -0.00000309 -0.00004347 0.00002981 1.00000000
1670533086.94019437 -0.00370756 -0.00778587 -0.00069525 0.00001518 -0.00003000 0.00018512 0.99999998
1670533087.04105043 -0.00369374 -0.00659138 -0.00096560 -0.00001666 -0.00008669 0.00005750 0.99999999
1670533087.14195728 -0.00357205 -0.00694299 -0.00091529 -0.00001193 -0.00005184 0.00009745 0.99999999
