#timestamp x y z qx qy qz qw
1670531081.10245061 -0.00466523 0.00463044 0.00099710 0.00004572 -0.00007665 0.00006283 0.99999999
1670531081.20237231 -0.00357655 0.00030462 0.00106615 0.00026562 -0.00049668 0.00019347 0.99999982
1670531081.30228877 -0.00478563 -0.00153601 0.00205065 0.00017539 -0.00012567 0.00003399 0.99999998
1670531081.40218425 -0.00288898 -0.00378844 0.00147065 0.00032291 -0.00030398 -0.00006341 0.99999990
1670531081.50210404 -0.00232790 -0.00573106 0.00331076 -0.00004210 -0.00019098 0.00016653 0.99999997
1670531081.60205245 -0.00401934 -0.00818031 0.00322118 0.00019869 -0.00037764 -0.00012768 0.99999990
1670531081.70197225 -0.00417913 -0.00712273 0.00397077 -0.00001816 -0.00011600 -0.00007193 0.99999999
1670531081.80188704 -0.00495824 -0.00409554 0.00349974 0.00005146 -0.00011440 0.00002601 0.99999999
1670531081.90179420 -0.00564971 -0.00050289 0.00328082 0.00025166 -0.00005065 0.00006485 0.99999996
1670531082.00176263 -0.00576407 -0.00225858 0.00328058 -0.00017533 -0.00010202 -0.00002352 0.99999998
1670531082.10181141 -0.00531360 -0.00360815 0.00314665 0.00022462 -0.00001435 0.00013365 0.99999997
1670531082.20191360 -0.00582848 -0.00392270 0.00180714 0.00012418 -0.00017943 -0.00019146 0.99999996
1670531082.30201983 -0.00704836 -0.00366421 0.00127803 0.00041482 -0.00039762 -0.00020334 0.99999981
1670531082.40218568 -0.00530340 -0.00311319 0.00262457 0.00001530 -0.00013061 -0.00004015 0.99999999
1670531082.50236917 -0.00669973 -0.00438598 0.00305257 0.00016180 -0.00034606 -0.00028307 0.99999989
1670531082.60253930 -0.00709753 -0.00196307 0.00320951 0.00031242 -0.00027263 -0.00024514 0.99999988
1670531082.70267153 -0.00764955 -0.00153407 0.00368849 0.00014269 -0.00014010 -0.00007089 0.99999998
1670531082.80277872 -0.00785949 0.00036951 0.00404158 0.00018414 -0.00034340 -0.00005345 0.99999992
1670531082.90284562 -0.00927386 0.00234232 0.00443117 0.00023647 -0.00040927 -0.00019696 0.99999987
1670531083.00283337 -0.01049160 0.00278482 0.00457003 0.00021677 -0.00019088 -0.00009917 0.99999995
1670531083.10276985 -0.00979114 0.00285959 0.00537706 -0.00007792 -0.00026350 0.00000908 0.99999996
1670531083.20272851 -0.00881868 0.00262401 0.00598319 -0.00022463 -0.00017354 0.00027110 0.99999992
1670531083.30269194 -0.00924564 0.00330095 0.00669595 -0.00007604 -0.00034051 0.00020368 0.99999992
1670531083.40268970 -0.00933483 0.00510362 0.00567217 -0.00000773 -0.00019228 -0.00001951 0.99999998
1670531083.50270629 -0.01160976 0.00510035 0.00493762 0.00028283 -0.00029669 -0.00008002 0.99999991
1670531083.60273433 -0.01066988 0.00428899 0.00399049 0.00004353 -0.00005292 -0.00012230 0.99999999
1670531083.70276427 -0.00823947 0.00245106 0.00409356 0.00007970 -0.00015599 -0.00007133 0.99999998
1670531083.80278206 -0.00696986 0.00117839 0.00442106 0.00007746 -0.00029611 0.00007455 0.99999995
1670531083.90273571 -0.00780906 -0.00137279 0.00515177 0.00028902 -0.00037432 -0.00012540 0.99999988
1670531084.00264192 -0.00770791 -0.00079808 0.00566504 -0.00005003 -0.00020088 0.00022592 0.99999995
1670531084.10256219 -0.00888702 0.00240328 0.00542330 0.00018951 -0.00028008 0.00010070 0.99999994
1670531084.20242929 -0.00812598 0.00314781 0.00539174 0.00007166 -0.00014188 0.00004322 0.99999999
1670531084.30227375 -0.00709858 0.00278895 0.00591472 0.00010408 -0.00041320 0.00006090 0.99999991
1670531084.40137959 -0.00688954 0.00404859 0.00620561 -0.00007648 -0.00008051 -0.00001878 0.99999999
1670531084.50209856 -0.00748866 0.00305248 0.00613592 0.00007915 -0.00006037 0.00006856 0.99999999
1670531084.60208178 -0.00936139 0.00120765 0.00517217 0.00026317 -0.00012658 -0.00010935 0.99999995
1670531084.70209837 -0.00907836 0.00043254 0.00520347 0.00009916 -0.00011350 0.00013046 0.99999998
1670531084.80216098 -0.00877488 0.00159239 0.00620862 0.00000296 -0.00022453 0.00023491 0.99999995
1670531084.90224695 -0.00935171 -0.00084225 0.00503401 0.00020873 -0.00026873 -0.00013526 0.99999993
