#timestamp x y z qx qy qz qw
1670531076.44840932 -0.00017059 0.00345121 0.00159120 0.00010660 -0.00003312 0.00007856 0.99999999
1670531076.54842973 -0.00396235 0.01269582 0.00344298 0.00022088 -0.00000692 0.00014646 0.99999996
1670531076.64844871 -0.00543567 0.01619933 0.00425761 0.00022686 -0.00000775 0.00016533 0.99999996
1670531076.74846125 -0.00621878 0.01571678 0.00388905 0.00020363 -0.00004080 0.00013382 0.99999997
1670531076.84846187 -0.00509917 0.01237430 0.00353513 0.00011099 0.00004144 0.00017770 0.99999998
1670531076.94843745 -0.00385396 0.00892767 0.00365979 0.00019219 0.00002480 0.00018854 0.99999996
1670531077.04838991 -0.00315957 0.00652109 0.00321195 0.00013908 -0.00000191 0.00017093 0.99999998
1670531077.14833403 -0.00178897 0.00628811 0.00318318 0.00011627 0.00002560 0.00017882 0.99999998
1670531077.24832559 -0.00235850 0.00781799 0.00300856 0.00011059 0.00005038 0.00017286 0.99999998
1670531077.34835291 -0.00224779 0.01308679 0.00309441 0.00012619 -0.00001920 0.00016055 0.99999998
1670531077.44841552 -0.00356743 0.01587054 0.00338747 0.00012074 -0.00001321 0.00018504 0.99999998
1670531077.54846025 -0.00492432 0.01757013 0.00326861 0.00012090 -0.00000507 0.00025022 0.99999996
1670531077.64844513 -0.00545294 0.01755797 0.00326463 0.00013201 -0.00002936 0.00024220 0.99999996
1670531077.74838281 -0.00447183 0.01710671 0.00325712 0.00006668 -0.00000797 0.00022085 0.99999997
1670531077.84830832 -0.00361844 0.01630794 0.00332575 0.00016161 -0.00002181 0.00021474 0.99999996
1670531077.94823694 -0.00422308 0.01624910 0.00375636 0.00015825 -0.00001849 0.00022581 0.99999996
1670531078.04820609 -0.00476731 0.01614313 0.00348683 0.00013344 -0.00000773 0.00023461 0.99999996
1670531078.14823008 -0.00366086 0.01603674 0.00381707 0.00014890 -0.00000779 0.00018100 0.99999997
1670531078.24829602 -0.00355969 0.01306107 0.00431022 0.00013244 0.00006535 0.00025321 0.99999996
1670531078.34836864 -0.00327843 0.01443553 0.00460731 0.00014366 -0.00003759 0.00018405 0.99999997
1670531078.44840336 -0.00294063 0.01562176 0.00504841 0.00014757 0.00001409 0.00024271 0.99999996
1670531078.54840255 -0.00277044 0.01579435 0.00516006 0.00013721 -0.00002139 0.00019085 0.99999997
1670531078.64835835 -0.00350693 0.01687693 0.00478734 0.00014858 -0.00003059 0.00018807 0.99999997
1670531078.74827290 -0.00482245 0.01748271 0.00485685 0.00014964 -0.00003886 0.00020088 0.99999997
1670531078.84819007 -0.00445600 0.01854312 0.00483660 0.00012545 -0.00002050 0.00022174 0.99999997
1670531078.94812417 -0.00399693 0.01785113 0.00508228 0.00011472 -0.00004720 0.00024147 0.99999996
1670531079.04811430 -0.00481779 0.01695862 0.00488950 0.00011700 -0.00003419 0.00021784 0.99999997
1670531079.14815450 -0.00378538 0.01569122 0.00479214 0.00010547 -0.00002220 0.00019862 0.99999997
1670531079.24822259 -0.00488872 0.01641376 0.00517931 0.00012620 -0.00004056 0.00024943 0.99999996
1670531079.34828520 -0.00452910 0.01540767 0.00499660 0.00013120 -0.00002458 0.00022773 0.99999997
1670531079.44836211 -0.00452281 0.01504761 0.00519133 0.00012879 -0.00001068 0.00020611 0.99999997
1670531079.54838681 -0.00493738 0.01550474 0.00517237 0.00012300 -0.00005396 0.00021055 0.99999997
1670531079.64837456 -0.00472171 0.01440561 0.00532144 0.00012986 0.00003881 0.00023768 0.99999996
1670531079.74836993 -0.00391395 0.01402970 0.00563397 0.00012394 0.00000899 0.00020805 0.99999997
1670531079.84838486 -0.00391808 0.01511661 0.00513544 0.00011560 0.00004540 0.00020985 0.99999997
1670531079.94842839 -0.00560845 0.01520466 0.00529015 0.00015228 0.00000747 0.00018248 0.99999997
1670531080.04849529 -0.00563504 0.01596369 0.00472825 0.00015617 0.00002682 0.00016790 0.99999997
1670531080.14856648 -0.00617744 0.01742711 0.00455826 0.00016542 -0.00002440 0.00022548 0.99999996
1670531080.24863863 -0.00684365 0.01789828 0.00483761 0.00013718 -0.00001360 0.00024502 0.99999996
1670531080.34867096 -0.00720092 0.01787170 0.00542154 0.00012916 -0.00004385 0.00027626 0.99999995
1670531080.44869065 -0.00706268 0.01771912 0.00526984 0.00017119 -0.00002079 0.00019932 0.99999997
1670531080.54867244 -0.00648669 0.01581552 0.00535931 0.00012897 -0.00003482 0.00024543 0.99999996
1670531080.64865994 -0.00632340 0.01511058 0.00533331 0.00012849 -0.00000847 0.00023246 0.99999996
1670531080.74863601 -0.00653706 0.01556738 0.00485970 0.00011716 -0.00002822 0.00025810 0.99999996
1670531080.84861374 -0.00668341 0.01589739 0.00486709 0.00011651 -0.00003775 0.00019105 0.99999997
1670531080.94859958 -0.00646991 0.01601898 0.00479027 0.00013964 0.00000588 0.00023674 0.99999996
1670531081.04857898 -0.00705124 0.01514282 0.00526188 0.00010320 0.00003078 0.00025222 0.99999996
1670531081.14854980 -0.00652715 0.01535893 0.00541619 0.00014211 -0.00000100 0.00021680 0.99999997
1670531081.24851942 -0.00585430 0.01631270 0.00567391 0.00014702 0.00003368 0.00026374 0.99999995
1670531081.34850335 -0.00528487 0.01777912 0.00516652 0.00008490 0.00002569 0.00028540 0.99999996
