#timestamp x y z qx qy qz qw
1670533474.99347186 0.00221684 -0.00061847 -0.00038650 -0.00004018 -0.00009960 -0.00000499 0.99999999
1670533475.09432411 -0.00170410 -0.00361702 -0.00185371 -0.00008368 -0.00003775 0.00013414 0.99999999
1670533475.19516206 -0.00485131 -0.00514329 -0.00296156 -0.00019736 -0.00004011 0.00017480 0.99999996
1670533475.29604340 -0.00728653 -0.00852290 -0.00243677 -0.00013804 -0.00011084 0.00008234 0.99999998
1670533475.39690113 -0.00673534 -0.00842755 -0.00209054 -0.00019113 -0.00005170 0.00011180 0.99999997
1670533475.49776912 -0.00351875 -0.00860380 -0.00015785 -0.00015209 -0.00003821 0.00004787 0.99999999
1670533475.59863591 -0.00156932 -0.01014155 -0.00037239 -0.00018523 -0.00001195 0.00012281 0.99999998
1670533475.69950485 -0.00156822 -0.01068695 0.00058576 -0.00015301 -0.00002594 0.00005030 0.99999999
1670533475.80038738 -0.00178302 -0.00983308 0.00020408 -0.00020888 -0.00000622 -0.00002104 0.99999998
1670533475.90123272 -0.00459633 -0.00829717 0.00016341 -0.00015967 -0.00005372 0.00007754 0.99999998
1670533476.00210023 -0.00372227 -0.00812312 -0.00006944 -0.00014389 -0.00005383 0.00006635 0.99999999
1670533476.10295820 -0.00517686 -0.00792012 -0.00024071 -0.00019044 -0.00006703 0.00021110 0.99999996
1670533476.20380378 -0.00497651 -0.00840302 0.00035305 -0.00015693 0.00001003 0.00012338 0.99999998
1670533476.30466723 -0.00508474 -0.00951534 -0.00012183 -0.00019828 -0.00001223 0.00010243 0.99999998
1670533476.40550876 -0.00436778 -0.01089006 -0.00051041 -0.00020120 -0.00006040 0.00005233 0.99999998
1670533476.50635362 -0.00474405 -0.01164777 -0.00067749 -0.00019418 -0.00001874 0.00011200 0.99999997
1670533476.60720181 -0.00238721 -0.01042704 -0.00087948 -0.00015743 0.00000795 0.00004026 0.99999999
1670533476.70807338 -0.00356386 -0.01181028 -0.00079896 -0.00018385 0.00000512 0.00013124 0.99999997
1670533476.80890059 -0.00337027 -0.01099000 -0.00099573 -0.00015183 0.00003386 0.00013566 0.99999998
1670533476.90974092 -0.00416108 -0.01050829 -0.00138333 -0.00017328 0.00001612 0.00006563 0.99999998
1670533477.01058602 -0.00535506 -0.01198334 -0.00088835 -0.00017680 -0.00002934 0.00012525 0.99999998
1670533477.11145973 -0.00562898 -0.01346237 -0.00066796 -0.00016024 -0.00004612 0.00001956 0.99999999
1670533477.21229720 -0.00342282 -0.01186441 -0.00068013 -0.00017941 -0.00002438 0.00003734 0.99999998
1670533477.31313133 -0.00391547 -0.01179066 -0.00103127 -0.00018480 -0.00004643 0.00013965 0.99999997
1670533477.41399288 -0.00507412 -0.00987441 -0.00136433 -0.00016202 -0.00001705 0.00022222 0.99999996
1670533477.51486492 -0.00816300 -0.01013258 -0.00093923 -0.00017224 -0.00001047 0.00020194 0.99999996
1670533477.61574435 -0.00847621 -0.01026468 -0.00021772 -0.00014773 -0.00005357 0.00019814 0.99999997
1670533477.71654654 -0.00925958 -0.00875213 -0.00024646 -0.00014729 -0.00000534 0.00017947 0.99999997
1670533477.81741405 -0.01058738 -0.00775550 -0.00037005 -0.00015666 -0.00002434 0.00005988 0.99999999
1670533477.91797709 -0.01170236 -0.00909116 -0.00071450 -0.00017255 -0.00004681 0.00032265 0.99999993
1670533478.01910090 -0.01080104 -0.00898309 -0.00103743 -0.00014199 0.00001583 0.00013801 0.99999998
1670533478.11996198 -0.00766026 -0.01138481 -0.00124360 -0.00019385 -0.00004528 0.00019091 0.99999996
1670533478.22098756 -0.00639146 -0.01222830 -0.00087729 -0.00017450 -0.00007926 0.00021146 0.99999996
1670533478.32166004 -0.00502898 -0.01191925 -0.00057386 -0.00017824 -0.00003215 0.00008969 0.99999998
1670533478.42260098 -0.00512032 -0.01093209 -0.00088577 -0.00014395 -0.00000357 0.00018632 0.99999997
1670533478.52338505 -0.00422129 -0.01044107 -0.00128740 -0.00016969 -0.00005281 0.00019423 0.99999997
1670533478.62401009 -0.00709633 -0.00971519 -0.00114518 -0.00015462 -0.00001923 0.00020703 0.99999997
1670533478.72485542 -0.00743696 -0.00938545 -0.00165560 -0.00014660 -0.00001411 0.00020929 0.99999997
1670533478.82592988 -0.00856963 -0.00922458 -0.00152698 -0.00015712 -0.00004746 0.00022672 0.99999996
1670533478.92634320 -0.00827101 -0.00851076 -0.00127198 -0.00014417 -0.00002343 0.00019882 0.99999997
1670533479.02763700 -0.00986157 -0.00979005 -0.00075428 -0.00016331 -0.00000658 0.00024172 0.99999996
1670533479.12850690 -0.01072460 -0.00883128 -0.00070244 -0.00016121 -0.00003044 0.00018995 0.99999997
1670533479.22938180 -0.01181475 -0.00832047 -0.00092355 -0.00016584 -0.00005066 0.00024815 0.99999995
1670533479.33023119 -0.00925083 -0.00778831 -0.00024822 -0.00017777 -0.00000131 0.00009158 0.99999998
1670533479.43109369 -0.00772924 -0.00935638 -0.00179117 -0.00008409 -0.00004870 0.00029904 0.99999995
1670533479.53196740 -0.00591724 -0.01172316 -0.00189873 -0.00016529 0.00000155 0.00020140 0.99999997
1670533479.63284302 -0.00648636 -0.01113688 -0.00122860 -0.00017426 -0.00002973 0.00013953 0.99999997
1670533479.73361254 -0.00698011 -0.01138829 -0.00081111 -0.00022218 -0.00000773 0.00015875 0.99999996
1670533479.83458138 -0.00754504 -0.01086548 -0.00090726 -0.00019597 0.00001243 0.00017898 0.99999996
1670533479.93545771 -0.00742664 -0.00913380 -0.00099948 -0.00015791 -0.00000136 0.00025690 0.99999995
1670533480.03633237 -0.00646824 -0.00971104 -0.00128312 -0.00017391 0.00003716 0.00013582 0.99999997
1670533480.13720798 -0.00558802 -0.01069593 -0.00173645 -0.00015229 0.00001443 0.00022518 0.99999996
