#timestamp x y z qx qy qz qw
1670531066.22654128 -0.00081969 0.00440103 0.00139022 0.00003377 0.00003654 0.00005737 1.00000000
1670531066.32647896 0.00444848 0.00831395 0.00253601 -0.00008057 0.00008065 0.00006570 0.99999999
1670531066.42642403 0.00456069 0.00892516 0.00229430 -0.00009112 -0.00007792 0.00004516 0.99999999
1670531066.52637911 0.00259526 0.00821898 0.00165449 -0.00009614 -0.00000956 0.00005243 0.99999999
1670531066.62633538 -0.00041626 0.00464031 0.00188143 -0.00018264 0.00008437 0.00015256 0.99999997
1670531066.72629142 -0.00222094 0.00432574 0.00313025 -0.00007609 0.00010165 0.00012298 0.99999998
1670531066.82624841 -0.00270890 0.00517805 0.00273230 -0.00014444 0.00010670 0.00010855 0.99999998
1670531066.92621112 -0.00182425 0.00380633 0.00290161 -0.00013250 0.00007824 0.00010917 0.99999998
1670531067.02618527 -0.00102176 0.00302017 0.00309449 -0.00013743 0.00014982 0.00012603 0.99999997
1670531067.12618566 0.00090855 0.00276548 0.00277603 -0.00017135 0.00008821 0.00009172 0.99999998
1670531067.22622108 0.00080257 0.00225842 0.00206398 -0.00015765 0.00009119 0.00009024 0.99999998
1670531067.32628345 0.00047023 0.00127941 0.00225939 -0.00014207 0.00009457 0.00013282 0.99999998
1670531067.42634153 0.00076333 0.00208694 0.00236647 -0.00012425 0.00007621 0.00006131 0.99999999
1670531067.52638125 0.00016981 0.00085259 0.00307272 -0.00010166 0.00012410 0.00011222 0.99999998
1670531067.62639546 0.00010061 0.00060653 0.00343544 -0.00015380 0.00007846 0.00010230 0.99999998
1670531067.72637916 -0.00049064 0.00194617 0.00301746 -0.00015172 0.00011384 0.00011942 0.99999997
1670531067.82635999 -0.00118955 0.00435557 0.00297457 -0.00012255 0.00006170 0.00009675 0.99999999
1670531067.92633915 -0.00113188 0.00484824 0.00291724 -0.00012558 0.00012264 0.00013126 0.99999998
1670531068.02630758 -0.00125091 0.00402815 0.00286777 -0.00012358 0.00010254 0.00010321 0.99999998
1670531068.12630701 0.00013365 0.00312555 0.00348962 -0.00011550 0.00008715 0.00008791 0.99999999
1670531068.22632194 -0.00016713 0.00197997 0.00363755 -0.00012241 0.00008937 0.00009930 0.99999998
1670531068.32632589 0.00012290 0.00159682 0.00337796 -0.00012250 0.00009672 0.00010346 0.99999998
1670531068.42633247 -0.00044571 0.00094361 0.00402445 -0.00015108 0.00008086 0.00011269 0.99999998
1670531068.52635312 -0.00049108 0.00165047 0.00421371 -0.00011102 0.00006971 0.00007193 0.99999999
1670531068.62637734 -0.00020510 0.00260425 0.00386438 -0.00010864 0.00007606 0.00010645 0.99999999
1670531068.72640157 -0.00021887 0.00188855 0.00389275 -0.00010264 0.00012556 0.00015672 0.99999997
1670531068.82643771 -0.00041049 0.00285381 0.00395541 -0.00010135 0.00010106 0.00011292 0.99999998
1670531068.92647433 -0.00062865 0.00344723 0.00385650 -0.00012173 0.00009964 0.00008452 0.99999998
1670531069.02651906 -0.00037759 0.00340768 0.00422205 -0.00011175 0.00012824 0.00014347 0.99999998
1670531069.12656236 -0.00022762 0.00399963 0.00441353 -0.00011893 0.00004774 0.00013074 0.99999998
1670531069.22659206 0.00039304 0.00255065 0.00458427 -0.00012396 0.00012140 0.00014199 0.99999997
1670531069.32658958 0.00079961 0.00216357 0.00472427 -0.00007883 0.00008480 0.00009497 0.99999999
1670531069.42655349 0.00050784 0.00344476 0.00458657 -0.00008287 0.00009966 0.00011914 0.99999998
1670531069.52649474 -0.00027350 0.00239524 0.00468233 -0.00013711 0.00009199 0.00014758 0.99999998
1670531069.62644482 -0.00201949 0.00287723 0.00459840 -0.00011357 0.00012043 0.00016537 0.99999997
1670531069.72645402 -0.00223571 0.00243931 0.00495867 -0.00009831 0.00013340 0.00015277 0.99999997
1670531069.82648611 -0.00178532 0.00200934 0.00502461 -0.00006870 0.00011683 0.00012149 0.99999998
1670531069.92655253 0.00023249 0.00199455 0.00472690 -0.00011715 0.00009643 0.00008621 0.99999998
1670531070.02661920 0.00014551 0.00197353 0.00464642 -0.00009465 0.00010034 0.00011734 0.99999998
1670531070.12669754 0.00037832 0.00261949 0.00483768 -0.00015282 0.00011799 0.00013753 0.99999997
1670531070.22678542 0.00061499 0.00250450 0.00497321 -0.00010209 0.00009960 0.00012996 0.99999998
1670531070.32687998 0.00064308 0.00211740 0.00534231 -0.00015584 0.00011308 0.00015449 0.99999997
1670531070.42697358 0.00110294 0.00236479 0.00538775 -0.00010960 0.00007952 0.00012881 0.99999998
1670531070.52707577 0.00126419 0.00336290 0.00527326 -0.00011145 0.00005689 0.00010914 0.99999999
1670531070.62636662 0.00117130 0.00377635 0.00494451 -0.00010509 0.00008698 0.00009671 0.99999999
1670531070.72483540 0.00096091 0.00437809 0.00481575 -0.00011583 0.00010422 0.00012414 0.99999998
1670531070.82641983 0.00073564 0.00491558 0.00516022 -0.00012091 0.00006982 0.00011850 0.99999998
1670531070.92719555 0.00067807 0.00336844 0.00496056 -0.00012145 0.00013886 0.00010891 0.99999998
1670531071.02715969 0.00066154 0.00285683 0.00519840 -0.00012335 0.00012228 0.00012515 0.99999998
1670531071.12709403 0.00084374 0.00292654 0.00552249 -0.00009449 0.00010369 0.00012370 0.99999998
1670531071.22702241 0.00076063 0.00312999 0.00580629 -0.00008955 0.00007469 0.00009241 0.99999999
1670531071.32698464 -0.00043704 0.00302639 0.00586348 -0.00009330 0.00010960 0.00014595 0.99999998
1670531071.42698264 0.00057071 0.00381202 0.00542289 -0.00011715 0.00008422 0.00012136 0.99999998
1670531071.52702451 0.00075370 0.00458954 0.00480012 -0.00011303 0.00008738 0.00008173 0.99999999
1670531071.62707162 0.00140460 0.00423045 0.00482286 -0.00009704 0.00010486 0.00008578 0.99999999
1670531071.72712517 0.00168265 0.00308960 0.00473673 -0.00009831 0.00009095 0.00010080 0.99999999
1670531071.82716870 0.00073536 0.00419847 0.00522362 -0.00012160 0.00009085 0.00008456 0.99999998
1670531071.92719007 0.00206118 0.00428574 0.00499967 -0.00012137 0.00006208 0.00007769 0.99999999
1670531072.02718425 0.00249679 0.00443599 0.00541293 -0.00007249 0.00011016 0.00013909 0.99999998
1670531072.12716818 0.00213445 0.00377687 0.00540135 -0.00008017 0.00012910 0.00012658 0.99999998
1670531072.22713828 0.00135609 0.00235631 0.00531530 -0.00011254 0.00010801 0.00009609 0.99999998
1670531072.32710743 0.00143415 0.00269058 0.00539150 -0.00012228 0.00009916 0.00009699 0.99999998
1670531072.42707634 0.00242378 0.00328548 0.00590665 -0.00008873 0.00013111 0.00011096 0.99999998
1670531072.52703977 0.00273768 0.00349995 0.00602492 -0.00010030 0.00007596 0.00009904 0.99999999
1670531072.62700152 0.00196272 0.00525126 0.00603295 -0.00005394 0.00006221 0.00004450 1.00000000
1670531072.72696686 0.00200778 0.00606638 0.00584810 -0.00012179 0.00008350 0.00010799 0.99999998
1670531072.82694244 0.00224541 0.00507704 0.00604508 -0.00006401 0.00008835 0.00006934 0.99999999
1670531072.92692041 0.00222935 0.00503364 0.00568741 -0.00010039 0.00005739 0.00011013 0.99999999
1670531073.02691221 0.00172234 0.00527673 0.00577517 -0.00012263 0.00009709 0.00012260 0.99999998
1670531073.12693286 0.00247742 0.00576046 0.00536164 -0.00010118 0.00004763 0.00010127 0.99999999
1670531073.22696781 0.00245337 0.00636003 0.00564022 -0.00007419 0.00005957 0.00008474 0.99999999
1670531073.32701659 0.00228363 0.00731221 0.00590962 -0.00008874 0.00008103 0.00010663 0.99999999
1670531073.42710185 0.00230610 0.00599901 0.00603484 -0.00010767 0.00005345 0.00008800 0.99999999
